A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
ASV_71 94 53 43 49 32 42 55 59 61 0 0 67 0 48 87 63 0 0 87 0 55 233 229 60 0 0 97 0 86 111 47 208 65 64 0 121 71 0 71 0 105 108 58 180 96 75 62 0 24 0 89 40 0 26 101 0 0 52 27 292 53 0 0 0 0 0 0 53 40 0 36 30 0 33 81 81 43 29 47 0 44 85 55 36 96 15 0 57 55 0 0 0 22 19 54
ASV_72 34 38 120 47 75 101 0 78 22 75 38 75 113 50 38 73 69 32 27 8 45 34 48 74 52 39 12 189 30 31 10 20 47 128 118 0 16 0 0 50 120 34 259 41 17 13 71 0 0 77 13 105 31 17 42 21 29 33 41 17 56 30 0 51 0 38 63 38 50 37 39 0 31 39 0 55 50 58 99 28 42 51 55 0 0 37 34 0 45 35 39 34 36 31 0
ASV_73 47 60 127 17 118 72 57 47 31 57 88 122 29 83 100 66 86 58 12 43 155 0 0 38 21 33 51 63 6 27 21 33 54 10 25 0 0 9 6 11 25 0 3 0 0 17 8 0 0 35 99 67 1 40 93 5 28 42 21 74 27 34 3 0 193 51 46 76 51 55 52 25 59 62 14 60 61 50 42 45 51 74 25 62 89 38 61 35 50 63 57 34 21 14 52
ASV_74 10 41 28 27 42 29 36 18 26 41 34 19 30 26 18 23 21 22 7 12 27 0 70 0 0 25 46 17 106 27 9 32 42 72 31 0 0 21 5 0 0 0 26 57 0 0 34 26 58 40 29 57 11 174 208 0 65 10 105 83 154 89 9 21 0 105 0 119 0 84 68 0 63 0 94 112 0 0 67 85 79 75 55 102 64 0 65 60 0 111 125 141 109 0 104
ASV_75 47 69 71 62 36 39 43 71 66 83 61 26 27 14 60 46 99 33 108 118 42 0 206 9 0 70 14 13 40 30 78 31 62 16 17 0 111 67 170 0 0 22 60 56 0 40 48 0 159 88 19 33 47 58 0 0 45 0 160 112 0 22 0 77 0 46 0 52 0 47 32 46 0 54 0 0 0 0 0 60 46 0 76 35 51 0 0 64 67 0 104 31 0 62 26
ASV_76 0 152 325 252 125 100 580 16 161 83 72 14 222 38 28 161 110 125 0 476 28 0 101 40 42 14 53 191 0 34 66 81 0 0 10 247 17 366 157 296 287 54 179 74 44 247 182 234 64 176 0 0 0 0 0 70 0 0 0 0 0 0 12 59 0 0 12 0 4 0 9 0 17 9 0 8 8 0 0 0 0 9 4 19 8 15 6 56 8 0 5 8 8 7 15
ASV_77 0 86 34 0 134 0 0 163 0 42 0 120 0 124 81 59 0 0 0 160 42 123 82 70 64 76 90 107 0 0 89 49 99 36 37 0 25 35 0 0 100 253 30 0 78 81 0 51 0 47 0 63 39 0 161 0 188 63 0 79 66 0 0 0 70 0 38 65 40 32 25 92 18 23 52 30 0 57 0 114 66 0 0 64 0 52 0 0 53 71 38 30 0 0 86
ASV_78 70 0 42 26 41 46 37 26 50 48 38 34 112 46 49 0 61 72 54 35 28 0 0 0 48 32 33 113 0 0 32 0 41 18 61 0 0 39 36 26 44 32 46 47 20 120 59 80 16 40 39 57 38 33 0 68 27 59 44 30 25 125 75 41 0 0 0 58 55 73 51 0 0 57 69 65 0 0 84 52 0 92 118 0 100 0 0 73 61 64 85 67 71 47 63
ASV_79 23 30 20 33 29 43 16 18 38 0 35 47 24 82 56 49 0 22 29 36 51 18 39 91 0 18 42 15 38 35 0 10 64 19 19 0 25 159 0 0 67 14 16 26 0 75 103 0 0 96 24 147 21 81 48 50 37 20 37 14 62 25 12 38 21 0 93 0 55 52 0 68 65 91 0 0 0 38 69 50 61 83 54 0 65 46 53 0 153 75 0 58 97 0 87
ASV_80 25 4 115 7 35 20 52 16 5 16 78 55 9 42 10 28 30 13 15 59 83 34 84 107 1 2 32 53 64 161 7 83 5 5 1 3 61 16 65 3 24 5 0 3 0 11 15 1 10 1 341 54 16 9 8 34 144 397 1 11 15 1 5 1 10 44 38 30 46 128 22 55 38 20 54 109 89 65 116 80 78 40 45 64 116 31 12 46 47 81 23 57 26 40 40
ASV_82 41 46 86 39 19 87 49 26 46 0 78 22 0 24 17 68 12 20 45 31 33 0 0 24 0 0 0 102 0 28 36 0 28 44 99 415 95 34 164 64 96 0 0 305 5 79 29 47 468 0 33 50 31 30 0 35 25 64 31 11 24 46 0 0 55 22 0 49 29 26 30 25 25 25 0 35 28 0 31 0 39 53 21 44 101 21 32 0 0 21 40 21 31 34 66
ASV_83 0 87 132 0 0 0 0 53 46 117 0 61 0 161 0 0 0 0 0 39 50 0 0 0 53 0 121 58 181 0 38 0 0 428 0 0 0 49 0 80 130 55 72 0 81 66 0 0 0 0 0 0 0 0 326 0 0 0 91 0 126 0 0 336 0 18 0 0 0 24 77 0 0 215 0 298 0 233 0 122 20 0 0 0 0 0 0 0 6 9 0 0 0 362 0
ASV_84 86 121 71 54 149 79 96 0 43 62 133 64 67 194 79 0 25 54 130 99 0 0 33 73 388 69 74 203 0 92 289 70 72 226 128 339 11 84 187 176 968 28 22 134 572 207 112 0 0 200 41 0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 7 4 10 0 4 4 4 0 14 15 5 3 0 6 0 7 8 0 22 11 0 10 8 15 11 10 4 9 4
ASV_85 0 195 46 0 209 0 0 87 0 117 0 182 0 15 167 68 0 55 0 0 131 274 93 108 52 322 171 193 145 54 119 113 43 57 0 0 0 0 252 152 92 0 228 0 84 414 67 122 0 0 0 0 83 0 0 0 0 0 0 0 0 85 0 0 37 0 11 0 11 0 8 0 0 12 0 6 28 4 0 6 12 25 129 0 0 11 11 13 9 41 21 0 0 0 27
ASV_86 0 0 24 13 0 6 18 83 9 27 24 89 0 12 0 73 9 7 11 4 7 121 4 20 0 12 4 5 143 57 0 18 12 41 22 73 98 34 0 27 35 6 632 11 6 118 3 14 8 10 4 60 57 11 10 17 9 8 26 27 12 10 263 40 54 0 31 0 71 41 65 0 0 42 74 0 46 40 0 164 89 34 76 47 31 0 70 0 0 0 37 31 47 0 176
ASV_87 0 86 0 0 146 179 0 150 0 86 0 228 0 0 170 111 0 71 0 0 322 200 336 97 0 0 0 210 0 79 0 0 0 93 0 0 58 235 0 0 0 0 0 87 0 247 0 0 0 0 0 0 0 0 72 0 0 0 78 192 0 0 0 170 0 0 0 22 0 13 156 165 0 0 89 0 0 52 0 0 9 0 9 7 0 38 0 0 63 11 36 0 0 0 10
ASV_88 89 14 39 38 65 9 73 39 20 9 71 103 18 77 16 58 53 71 126 58 13 62 21 10 2 58 9 53 24 17 15 7 25 150 78 1 31 2 5 21 6 5 2 20 8 2 0 0 1 3 75 11 1 12 10 185 1 12 13 8 13 24 75 40 137 49 46 54 41 86 37 35 43 46 34 35 32 42 66 62 54 61 35 53 56 42 28 42 52 0 65 64 42 35 61
ASV_89 160 263 0 0 0 0 0 0 0 129 0 0 0 107 0 0 0 0 176 77 88 318 200 85 0 0 0 120 0 79 0 0 0 0 0 0 0 263 0 158 359 0 47 318 0 0 591 0 0 0 0 0 32 0 0 202 56 0 0 0 0 0 0 0 0 229 0 0 0 0 156 5 0 0 0 0 0 40 79 0 0 0 0 4 0 0 0 0 0 0 0 0 132 0 0
ASV_90 0 24 9 11 25 0 0 21 43 13 37 32 34 65 50 14 66 51 0 19 80 34 32 61 340 38 108 21 58 10 38 0 39 25 21 6 51 12 35 17 0 33 0 24 0 152 18 23 0 43 0 146 0 33 34 10 100 129 45 75 64 24 7 0 15 27 30 45 35 51 117 34 0 34 40 34 0 47 77 43 80 0 22 38 42 32 95 34 46 48 42 36 23 15 34
ASV_91 90 37 46 11 38 60 45 0 22 81 42 52 37 0 57 0 18 51 153 43 63 24 33 0 0 26 71 22 49 26 67 22 42 27 43 151 43 58 61 51 10 29 55 112 86 47 0 4 62 0 37 0 43 45 0 85 0 50 30 0 0 65 62 0 35 0 71 38 33 35 36 46 42 0 38 36 35 0 40 25 41 33 41 40 55 0 0 30 0 0 39 41 43 54 0
ASV_92 28 70 72 77 30 34 26 0 73 49 35 0 66 0 47 59 76 82 56 55 134 0 61 150 0 0 88 45 0 46 0 90 71 64 0 0 365 39 535 47 269 41 30 46 0 200 70 0 30 35 0 0 126 0 0 0 0 16 60 0 0 72 30 0 0 0 9 0 50 0 0 19 41 0 30 0 0 0 0 50 0 0 0 30 74 0 0 84 0 40 20 23 0 14 0
ASV_93 154 21 15 97 16 29 0 70 39 10 0 100 0 15 0 120 0 40 114 0 0 5 120 48 0 18 23 24 272 24 9 42 79 10 0 0 0 132 0 0 110 106 23 23 0 24 48 0 0 0 185 16 0 10 63 0 40 103 0 0 14 0 61 0 139 5 0 3 0 13 3 0 0 5 39 33 19 3 19 12 5 0 715 23 21 5 86 0 0 24 7 3 0 0 0
ASV_94 56 0 0 0 0 94 39 0 0 46 49 67 0 79 0 42 29 0 73 43 0 0 0 0 0 0 0 55 0 66 0 62 0 0 0 0 61 0 33 68 63 91 114 0 0 0 0 0 0 0 76 92 65 59 0 100 89 90 70 80 79 52 78 73 64 92 68 59 41 60 0 48 49 103 37 0 67 15 101 56 22 104 103 0 91 36 0 39 60 72 0 43 44 0 60
ASV_95 0 218 368 628 274 0 0 0 922 771 0 0 0 0 733 328 0 242 0 296 110 168 134 78 1048 168 565 0 0 69 280 314 380 736 0 0 190 293 0 0 1108 262 112 634 0 625 209 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 2 0 4 2 2 2 1 2 1 4 0 0 1 0 1 2 1 11 2 5 2 0 0 0 0 3 2 1 0 2
ASV_96 0 118 78 142 85 27 0 0 137 126 70 0 84 159 107 70 0 171 0 89 0 0 58 61 0 0 128 0 35 29 77 46 0 316 53 0 22 0 0 92 31 0 0 0 226 37 100 16 0 48 91 0 0 0 25 36 0 0 19 0 85 51 0 17 0 27 0 18 16 26 38 30 15 17 18 33 22 9 25 0 7 3 0 11 15 23 12 34 19 13 10 18 14 12 33
ASV_97 30 0 0 27 0 0 0 0 27 0 0 0 72 0 0 42 51 44 36 0 53 0 33 34 33 32 45 0 0 46 0 46 0 94 38 0 0 0 0 0 0 30 0 0 0 0 29 0 0 46 72 96 40 89 68 99 107 55 117 128 29 48 28 74 40 27 92 65 34 73 44 79 58 89 0 76 67 129 19 32 71 25 55 75 0 22 36 38 24 41 45 112 40 53 61
ASV_98 0 43 37 0 0 0 0 0 29 0 0 26 55 31 31 0 0 0 0 36 19 0 0 0 0 0 0 159 0 0 20 0 0 0 0 92 188 0 31 58 0 32 0 0 79 360 38 47 46 0 0 0 21 89 0 44 0 26 139 36 205 174 70 81 0 20 0 0 59 62 0 89 52 0 202 3 139 21 0 9 120 0 106 57 0 0 104 0 0 13 58 26 30 19 6
ASV_99 46 0 28 110 0 112 0 37 62 0 20 44 0 45 18 0 52 33 54 0 33 39 211 36 24 64 0 31 0 67 0 102 56 76 41 53 60 21 0 105 150 83 45 26 7 32 36 28 56 0 48 90 29 26 0 114 0 0 129 0 55 0 0 0 42 35 62 67 35 0 0 41 97 28 0 0 0 39 51 0 31 57 0 0 48 69 75 0 58 0 0 28 26 0 0
ASV_100 30 18 54 61 0 0 0 0 74 119 0 0 0 70 80 74 125 0 44 114 0 99 0 44 0 0 65 102 200 0 0 39 0 41 0 0 83 124 0 76 103 52 0 0 0 0 0 0 0 153 0 72 0 0 0 0 32 52 125 0 57 95 0 59 152 2 0 0 40 82 50 40 0 0 28 14 29 7 0 13 0 0 0 20 14 17 258 61 0 0 0 49 79 23 11
ASV_101 18 0 18 21 28 0 4 16 34 0 0 16 0 41 27 27 0 0 17 26 27 58 0 0 269 42 241 0 0 124 14 174 17 14 0 0 39 19 130 27 43 0 184 17 0 38 0 0 0 0 14 57 21 0 0 29 0 0 19 66 155 0 0 236 0 0 0 0 0 38 43 25 39 196 0 28 57 46 0 0 49 0 0 131 0 0 0 0 248 40 35 0 28 0 0
ASV_102 0 55 89 0 45 33 0 20 11 32 82 28 52 0 53 66 49 0 0 29 57 66 32 0 14 24 0 68 11 59 35 25 31 48 28 0 90 127 23 77 57 78 42 56 15 75 29 0 29 16 27 124 18 27 109 51 29 33 0 0 23 0 0 23 29 0 31 23 25 74 73 41 36 41 29 40 52 21 30 27 0 63 34 29 31 31 34 21 31 32 42 23 0 17 28
ASV_103 30 21 0 0 5 9 0 0 6 0 0 11 4 25 0 0 0 22 38 4 0 100 33 0 16 12 20 7 0 10 4 10 0 0 0 0 0 0 0 0 21 8 9 0 0 65 0 10 0 0 318 65 299 80 57 0 70 66 0 18 14 0 183 33 0 0 19 0 41 0 0 66 0 65 0 78 174 64 1114 0 27 302 59 22 5 81 83 0 9 11 38 11 0 0 0
ASV_104 0 0 0 0 34 0 0 0 0 25 0 0 0 0 94 0 0 9 0 26 0 0 0 37 0 0 0 0 0 12 16 36 53 0 0 0 6 0 0 0 45 63 10 0 0 0 0 0 0 0 0 0 0 0 590 0 0 0 0 180 55 0 510 0 0 98 0 0 0 3057 0 369 0 6 0 0 0 9 0 3 0 0 0 0 0 2 0 38 23 0 0 0 1 0 0
ASV_105 83 38 80 0 45 0 0 35 0 124 0 46 211 0 0 41 0 70 25 80 29 0 0 34 0 94 0 40 0 51 0 0 92 0 55 0 0 0 0 0 0 0 25 63 0 119 54 0 0 66 0 90 0 0 132 45 78 69 52 45 50 95 0 38 0 35 58 14 36 0 82 0 20 37 40 0 33 0 31 0 0 45 46 0 25 110 56 0 43 48 64 42 20 0 27
ASV_106 14 15 41 86 14 51 62 0 64 38 23 28 23 16 46 11 18 100 25 73 21 265 54 38 50 0 6 10 0 16 26 18 14 14 0 7 7 37 199 93 55 13 80 35 48 79 24 7 0 0 0 0 104 85 0 0 0 0 170 0 20 0 16 0 0 0 0 0 74 0 81 25 0 42 0 0 0 0 0 25 31 62 0 42 0 0 0 39 46 0 0 0 0 56 24
ASV_107 58 34 89 0 55 36 48 41 47 0 0 36 92 33 0 35 47 0 41 64 0 28 78 59 31 36 28 84 56 85 0 72 42 59 48 0 53 132 0 0 0 112 32 48 51 68 40 0 0 52 0 107 0 41 46 64 0 54 62 0 39 0 44 0 0 0 60 0 0 0 0 0 27 0 53 76 53 27 0 53 0 25 64 0 38 31 0 57 32 38 52 28 48 0 0
ASV_108 41 23 15 5 16 11 50 11 14 28 22 26 70 13 77 33 21 24 43 43 33 48 14 41 26 48 42 89 9 31 28 21 37 38 7 0 9 86 2 5 49 0 0 3 0 8 47 0 0 221 167 14 8 7 24 5 2 29 111 2 32 39 13 14 23 22 29 34 34 27 22 13 24 0 43 33 28 0 47 46 41 18 0 50 96 39 25 25 33 64 48 41 37 32 32
ASV_109 52 29 43 36 22 41 0 0 42 41 18 0 72 37 0 45 36 0 83 48 31 0 0 20 0 54 19 0 88 28 0 48 47 34 0 0 0 0 27 0 0 0 33 105 0 0 0 0 199 39 213 54 0 59 67 0 36 39 37 136 37 61 0 0 0 48 41 68 45 29 42 20 26 34 30 22 78 46 0 0 43 27 89 27 0 33 26 36 24 44 31 94 0 20 26
ASV_110 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 69 0 0 68 0 0 0 0 0 0 0 0 0 0 111 83 0 108 41 86 97 38 0 56 112 4 21 0 0 28 0 60 46 87 41 103 128 93 58 47 34 54 10 74 43 51 14 31 0 0 30 58 48 27 36 104 30 19 0 13 36 38 52 21 27 40 69 63 0 58 40 47 57 31 25 42
ASV_111 38 11 86 9 5 139 0 39 45 24 139 81 25 20 29 48 66 12 11 83 8 120 16 9 20 23 43 41 0 0 6 0 32 10 109 32 29 8 20 19 34 18 7 68 3 19 4 0 108 8 18 41 10 0 24 274 68 0 4 44 28 0 16 0 0 42 0 35 55 67 31 39 0 23 36 0 0 46 91 23 34 20 31 30 27 19 16 45 33 20 20 26 27 17 44
ASV_112 95 0 70 0 109 0 0 42 0 0 0 49 0 40 77 53 0 39 76 82 113 0 147 77 0 0 0 47 56 47 0 0 0 0 0 0 95 55 0 0 48 0 41 0 0 0 101 0 0 0 0 0 0 0 0 132 0 0 0 315 159 0 0 0 88 19 0 28 0 19 41 123 0 193 0 0 0 53 0 14 47 0 0 18 0 0 0 9 0 21 96 79 68 4 60
ASV_113 9 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 9 0 0 0 19 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 13 0 734 0 0 309 0 0 0 252 0 98 0 79 0 316 0 733 0 720 0 0 59 0 0 0 0 0 0 0 0 226 623 0 0 0 0 0 0 0 0 0 9 0 23 54
ASV_114 0 0 0 54 70 34 0 0 82 0 0 0 0 0 0 42 0 0 0 0 0 0 99 0 0 35 85 155 0 0 111 19 88 0 0 0 0 0 0 0 209 0 0 85 0 33 0 0 0 0 0 212 0 25 0 0 123 0 0 38 94 0 0 389 0 0 0 51 156 0 17 0 0 0 161 0 0 20 4 0 0 0 0 70 0 0 4 0 307 12 572 0 0 0 0
ASV_115 28 8 10 2 11 12 13 20 2 13 13 21 109 32 77 4 1 3 93 6 9 74 56 13 2 11 2 32 21 4 14 1 24 5 4 36 45 5 52 40 12 9 159 39 33 16 23 0 185 14 1 1 38 47 1 45 1 18 71 1 3 244 140 8 16 26 56 40 25 30 33 31 22 36 33 29 58 34 48 51 29 39 64 31 52 33 28 22 32 33 40 39 40 34 43
ASV_116 16 25 0 0 0 0 0 0 0 9 13 0 0 0 0 8 7 0 18 0 0 0 10 0 0 0 13 34 0 22 0 34 0 0 17 0 41 0 6 8 0 0 0 25 0 0 17 0 0 9 55 24 51 0 0 0 0 23 0 18 0 0 0 0 908 0 0 261 0 0 0 40 0 173 204 131 0 0 0 43 101 158 0 0 186 234 0 0 0 0 0 33 0 0 79
ASV_117 37 29 26 70 12 41 0 36 54 0 0 39 0 0 51 0 0 38 32 17 0 29 0 31 0 31 57 0 18 0 0 38 18 0 0 180 48 0 51 26 58 0 104 57 67 110 0 110 95 24 0 31 67 37 14 38 6 74 32 16 11 18 51 26 27 43 43 34 17 32 32 55 34 17 0 28 0 16 41 39 26 59 31 40 47 0 22 0 32 43 52 25 28 36 40
ASV_118 0 0 96 0 0 0 0 0 0 66 0 0 429 0 0 153 214 44 0 0 0 229 0 225 0 0 0 0 132 83 0 500 0 0 0 0 0 0 0 71 0 0 0 0 0 338 0 0 0 0 0 0 54 0 0 0 0 18 0 0 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 32 0 0 0 0 0 44 0 0 32 0 0 0 0 139 49
ASV_119 50 0 11 38 34 0 0 36 0 0 34 48 54 46 0 0 0 0 0 0 0 0 46 0 47 28 37 48 28 49 0 42 36 45 0 9 9 31 33 45 16 59 23 95 0 30 53 0 0 0 49 58 23 42 0 50 17 56 69 24 34 49 31 54 47 41 47 30 43 45 38 35 0 0 44 0 54 38 0 54 46 68 90 44 87 0 0 55 0 0 57 76 0 61 48
ASV_120 0 0 0 0 50 0 65 54 0 0 67 0 135 92 51 0 0 0 0 0 0 69 47 0 86 0 100 60 54 44 59 0 0 0 0 24 0 0 0 66 122 35 50 60 27 72 0 0 0 115 0 69 0 46 0 0 81 74 83 40 0 99 0 45 0 33 41 29 21 39 40 0 25 37 0 45 0 0 37 27 49 46 0 28 40 0 42 0 43 26 28 22 0 0 17
ASV_121 2 7 3 10 8 6 0 0 5 3 9 5 0 5 6 17 13 23 4 5 4 0 11 4 41 43 55 8 5 72 25 26 9 0 0 93 41 26 1 29 11 7 129 56 202 38 21 22 167 0 27 17 9 56 13 50 11 71 22 24 86 13 69 6 5 48 37 49 43 53 47 41 42 33 40 62 46 23 52 28 0 48 28 47 41 36 23 42 29 42 64 21 31 41 57
ASV_122 0 0 13 14 0 0 0 0 0 12 0 0 0 0 0 10 0 0 20 14 0 0 0 0 0 17 0 0 0 20 0 15 0 0 45 0 47 0 14 11 0 0 0 0 36 0 0 0 34 0 53 0 150 57 0 72 0 87 137 23 71 68 42 0 255 0 102 0 13 0 7 259 190 7 61 91 0 0 0 52 15 48 0 34 5 13 0 8 16 109 16 13 315 10 7
ASV_123 43 29 27 0 49 24 0 33 24 0 25 44 11 18 27 18 27 0 0 26 36 0 27 23 59 44 0 0 58 34 22 54 22 64 0 0 116 18 0 25 95 115 73 106 21 19 24 0 0 0 22 55 0 0 0 41 32 38 25 45 40 25 37 56 0 29 31 27 19 40 20 31 14 32 21 25 32 20 53 34 30 46 0 17 87 26 21 18 28 32 34 21 31 16 29
ASV_124 0 15 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 12 48 35 0 0 0 15 70 0 0 35 79 0 63 131 0 0 398 76 0 0 0 0 21 239 0 0 77 0 0 0 423 0 28 0 0 0 0 0 0 0 0 0 2 0 5 0 0 0 453 0 35 0 0 0 0 2 75 0 0 0 0 77 0 236 0 413 0 30
ASV_125 26 17 28 18 59 121 86 35 28 42 33 66 84 54 49 73 20 108 64 63 9 20 0 24 80 0 83 34 41 10 58 0 43 31 22 15 0 102 24 26 0 17 0 85 77 0 59 0 92 58 0 0 0 0 0 0 44 0 0 0 39 0 0 0 27 33 0 0 0 0 0 0 22 0 0 0 0 0 34 0 28 0 0 0 0 0 0 0 27 0 0 0 0 0 0
ASV_126 75 33 88 104 98 54 197 41 68 109 37 48 33 38 62 23 23 77 99 66 0 0 0 27 0 0 0 0 92 0 0 0 0 91 0 159 0 45 90 110 29 0 56 0 0 57 0 0 69 0 0 0 0 31 0 0 0 32 172 0 21 44 0 0 0 26 0 0 14 0 0 19 0 48 0 0 0 0 0 34 0 0 0 18 29 0 14 112 0 0 0 29 22 39 0
ASV_127 0 144 58 595 0 0 0 89 184 0 0 162 0 32 0 83 0 0 0 126 0 0 151 62 151 75 0 0 0 27 68 0 31 0 0 0 0 0 0 0 37 175 0 52 65 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 74 0 0 0 144 0 0 0 0 0 0 0 0 31 50 0 0 0 698 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
ASV_128 13 35 71 16 42 62 26 55 7 82 55 52 0 22 0 54 23 19 14 53 45 0 29 0 32 26 81 25 0 95 26 170 0 72 15 0 0 0 0 0 12 0 65 55 0 22 39 33 56 22 15 17 0 24 19 12 31 34 17 11 62 29 0 20 0 47 0 46 0 0 27 0 24 0 39 0 0 0 0 0 60 0 0 70 29 0 0 0 0 32 55 0 34 0 33
ASV_129 0 0 0 36 0 45 107 0 26 88 103 0 0 50 0 0 0 44 31 0 0 0 0 36 0 0 0 17 44 48 76 57 55 0 0 0 70 0 255 37 53 57 82 97 0 0 0 26 0 57 0 25 0 39 0 38 42 0 0 0 35 30 80 36 63 0 0 0 0 0 0 0 0 0 0 125 0 0 48 100 0 172 0 0 0 0 110 0 0 0 83 0 70 0 0
ASV_130 20 0 0 0 0 48 18 0 0 0 34 0 0 0 0 0 0 22 25 16 0 0 0 0 0 0 55 0 0 16 0 23 0 0 0 0 0 0 0 0 0 22 56 40 0 24 0 0 180 29 42 92 54 32 72 72 89 41 0 115 48 127 29 42 9 78 9 52 36 41 17 15 15 15 0 46 58 76 17 37 0 29 41 57 56 19 61 36 14 34 40 68 0 11 55
ASV_131 40 37 24 10 31 107 70 14 18 9 26 35 9 57 24 50 11 7 6 38 73 98 18 40 68 0 44 58 54 14 32 22 12 0 11 38 54 13 41 16 0 20 25 48 11 11 6 13 25 5 57 8 70 13 0 0 35 28 0 12 20 0 0 16 59 0 0 0 25 0 28 0 45 0 0 30 21 25 0 0 0 51 20 25 64 23 29 23 0 28 36 0 0 0 24
ASV_133 35 0 36 49 0 0 0 0 80 62 0 0 0 0 0 0 16 0 0 27 0 0 0 0 0 15 0 0 0 0 57 0 0 39 0 37 90 0 0 45 0 0 40 0 64 44 52 0 0 0 0 0 0 0 0 0 0 0 0 0 91 77 171 157 289 18 0 0 0 0 142 0 20 0 71 53 7 0 10 0 0 137 18 0 15 47 141 0 0 410 14 0 31 0 0
ASV_134 0 97 34 0 0 43 27 0 0 0 0 25 31 0 0 0 32 0 0 0 77 0 152 100 67 24 30 66 101 22 0 32 43 49 0 0 0 26 35 33 0 33 0 0 0 40 0 0 0 55 83 26 34 36 0 28 36 0 0 32 228 0 0 0 0 28 36 32 36 86 0 0 0 50 0 0 135 42 0 0 33 0 40 0 89 0 0 0 0 0 0 64 110 0 0
ASV_135 0 0 0 149 23 0 0 64 145 0 0 58 0 0 154 99 0 148 0 0 0 59 0 0 0 0 86 164 263 77 0 0 152 0 0 0 0 66 0 0 147 53 0 0 0 0 197 0 0 0 0 0 89 0 0 0 38 0 0 162 28 0 0 60 0 0 0 0 13 3 0 0 0 15 0 0 0 50 0 0 227 0 0 123 0 5 0 8 0 0 2 40 93 0 0
ASV_136 0 25 25 43 22 0 14 23 33 15 27 30 30 65 47 14 22 0 23 18 27 37 16 15 0 83 20 38 37 22 36 41 54 20 33 0 17 0 0 0 21 11 0 0 32 0 10 5 22 0 38 81 2 41 47 18 25 12 15 46 48 0 8 27 48 31 45 31 17 31 37 48 35 38 32 34 39 24 23 20 72 0 17 45 18 42 34 39 37 32 29 24 43 21 28
ASV_139 0 39 0 56 34 20 33 56 63 55 69 56 56 73 81 24 26 14 24 46 16 27 27 37 12 17 34 34 59 10 94 57 42 7 5 64 20 5 26 0 44 41 62 145 73 14 22 0 40 25 0 0 0 53 54 0 0 0 32 33 0 0 0 48 26 0 0 14 18 0 9 0 0 0 0 40 24 16 17 0 0 74 22 18 0 0 28 9 22 0 0 27 0 0 27
ASV_140 0 5 0 0 8 0 0 0 0 0 0 0 0 9 0 0 0 0 28 0 15 15 5 8 10 14 13 9 6 14 0 34 15 0 48 23 50 11 12 15 36 24 65 31 44 38 45 20 30 13 12 45 12 59 59 41 21 34 37 28 17 31 106 33 33 36 146 40 26 38 39 38 58 43 39 57 38 27 40 26 35 36 30 39 89 0 53 36 23 28 39 43 18 84 38
ASV_141 18 19 28 34 10 63 35 29 0 19 13 28 28 0 21 0 17 12 7 10 24 13 53 55 15 65 28 30 0 14 39 0 12 71 17 21 20 0 21 32 0 96 0 28 32 187 16 0 4 46 0 0 122 8 0 0 161 29 24 13 12 7 0 0 13 0 64 0 18 21 30 28 14 25 36 21 0 0 0 15 31 31 9 46 17 18 14 35 25 0 29 17 36 22 49
ASV_143 0 1 13 0 0 0 0 0 0 0 0 0 0 0 0 144 0 0 0 0 0 0 253 76 0 0 0 0 0 0 0 0 0 0 0 0 95 271 0 0 0 0 224 0 180 170 0 0 0 0 0 0 0 134 0 0 0 0 0 435 0 0 0 0 0 13 0 18 0 1 0 0 0 1 34 0 0 0 0 0 279 0 0 165 29 0 0 0 9 0 28 0 0 26 0
ASV_144 0 43 16 38 29 58 0 34 75 11 0 52 0 23 27 22 0 10 0 74 7 46 0 17 101 0 55 37 19 53 33 81 25 33 0 0 15 40 0 83 61 204 64 160 35 31 6 0 0 0 0 0 0 66 0 0 54 21 29 38 68 50 0 0 0 54 44 19 24 39 21 12 0 21 31 26 0 19 0 4 16 0 21 25 37 36 0 20 27 11 5 7 12 0 0
