A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
ASV_17 1034 378 52 0 584 4 0 160 0 195 0 307 263 181 18 0 0 164 316 140 152 0 0 429 401 517 365 1090 167 43 57 0 88 102 0 0 96 905 0 145 189 661 75 729 0 187 0 22 0 1293 139 0 0 0 0 27 0 0 23 49 0 0 0 47 35 0 0 0 88 58 18 62 14 0 35 13 0 0 0 0 9 0 93 5 10 15 0 6 0 6 0 27 0 0 20
ASV_18 19 18 52 1 8 113 14 103 23 260 61 15 538 92 1 8 69 117 43 12 21 2 652 76 7 13 1 40 147 383 14 75 2 1 57 33 21 3 1 40 14 1 39 137 14 32 30 98 1 132 8 74 62 45 220 295 269 120 188 335 12 3 68 53 11 133 164 109 125 160 151 153 165 136 112 182 201 204 141 168 122 147 195 134 208 116 149 129 127 141 179 175 134 111 200
ASV_19 101 110 89 48 21 335 67 158 72 81 52 210 62 132 48 78 9 71 36 74 0 4 67 17 536 15 17 3 70 90 107 194 12 7 6 14 12 0 27 26 3 22 395 3 0 27 71 17 20 4 45 14 3 7 616 13 19 3 6 14 0 8 6 0 0 107 0 31 0 0 0 78 0 0 0 204 0 0 121 0 79 96 0 0 0 0 109 0 97 0 0 90 0 0 0
ASV_20 6 10 40 43 38 236 56 37 58 50 6 69 59 25 2 82 106 21 53 15 20 28 177 27 1 0 38 0 730 69 174 116 7 224 99 61 6 122 10 52 30 65 27 289 15 20 24 38 3 34 352 57 14 218 176 115 16 49 63 37 33 178 62 15 22 158 85 119 61 161 93 110 120 91 110 222 229 136 129 164 78 145 99 169 118 0 89 113 111 122 137 92 163 98 130
ASV_21 28 0 158 117 70 63 148 121 95 136 137 75 20 155 117 10 51 113 43 149 27 217 32 107 796 49 45 25 0 44 148 93 183 39 145 773 46 241 142 223 243 8 59 117 989 96 168 95 256 55 34 0 91 0 0 48 0 0 97 0 74 0 45 37 99 0 24 0 42 26 31 78 25 53 26 40 39 0 57 21 16 54 25 30 73 51 21 30 29 42 34 34 40 27 31
ASV_22 2 12 1 87 1 2 3 3 117 8 2 9 123 74 2 9 1 16 4 3 78 2 1 13 10 129 7 111 26 50 24 93 3 27 90 29 24 117 87 128 50 282 555 279 1 35 57 358 3 23 11 61 135 22 111 237 25 176 101 108 2 499 44 36 10 126 182 149 108 107 116 155 121 101 102 127 194 83 150 178 124 99 261 95 175 78 139 78 108 120 167 85 127 120 155
ASV_23 44 20 41 8 34 51 11 43 3 11 93 79 363 28 35 119 56 77 76 36 127 13 523 107 319 57 313 12 289 72 47 150 58 138 173 1 1 52 1 21 12 67 22 229 1 153 130 0 1 101 54 191 3 162 10 51 75 46 3 87 47 128 1 119 24 82 126 70 82 76 72 90 86 77 73 91 117 84 104 54 103 97 87 86 139 58 91 54 105 84 76 55 0 66 89
ASV_25 89 71 19 53 23 99 73 27 64 133 128 16 620 25 9 50 42 41 29 15 13 32 35 96 10 37 8 113 101 140 28 95 19 142 353 6 7 2 12 207 23 4 15 23 147 1 39 25 1 193 1 96 9 2 1 23 2 60 248 2 37 1185 253 83 9 67 129 112 70 94 93 91 101 89 75 134 101 92 118 114 121 75 153 68 106 80 108 51 90 95 104 122 91 89 90
ASV_26 28 11 28 7 15 21 13 26 34 9 57 111 12 19 85 68 4 21 10 64 245 80 84 39 309 128 78 51 12 47 100 40 40 3 11 0 202 569 0 386 131 67 52 143 0 182 4 0 2 26 136 113 2 211 19 61 10 38 18 139 70 116 22 70 26 67 96 42 66 85 70 79 43 109 70 78 136 75 134 46 75 211 60 82 66 84 180 64 93 104 91 59 53 56 113
ASV_27 21 129 48 119 57 245 0 148 331 24 427 177 162 189 336 284 93 126 5 51 62 493 185 26 16 8 168 10 249 285 1 473 67 35 0 52 35 229 25 42 65 3 4 10 0 93 57 3 0 2 164 95 4 24 146 18 5 16 16 26 113 19 4 0 109 31 0 22 38 46 69 38 53 40 55 76 52 82 41 54 54 0 17 70 65 62 100 36 109 0 81 33 40 16 23
